id;player_fifa_api_id;player_api_id;date;overall_rating;crossing;finishing;ball_control;agility;balance;jumping;stamina;strength;long_shots;aggression;positioning;vision;marking
1;218353;505942;18/02/2016 0:00;67;49;44;49;59;65;58;54;76;35;71;45;54;65
2;218353;505942;19/11/2015 0:00;67;49;44;49;59;65;58;54;76;35;71;45;54;65
3;218353;505942;21/09/2015 0:00;62;49;44;49;59;65;58;54;76;35;63;45;54;65
4;218353;505942;20/03/2015 0:00;61;48;43;48;59;65;58;54;76;34;62;44;53;62
5;218353;505942;22/02/2007 0:00;61;48;43;48;59;65;58;54;76;34;62;44;53;62
6;189615;155782;21/04/2016 0:00;74;80;53;71;78;90;85;79;56;62;68;60;66;76
7;189615;155782;7/04/2016 0:00;74;80;53;71;78;90;85;79;56;60;68;60;66;76
8;189615;155782;7/01/2016 0:00;73;79;52;70;78;90;84;79;56;59;67;58;65;76
9;189615;155782;24/12/2015 0:00;73;79;51;70;78;90;84;79;56;58;67;58;65;76
10;189615;155782;17/12/2015 0:00;73;79;51;70;78;90;84;79;56;58;67;58;65;76
11;189615;155782;16/10/2015 0:00;73;79;51;70;78;90;84;79;56;58;67;58;65;76
12;189615;155782;25/09/2015 0:00;74;79;51;70;78;90;84;79;56;58;67;58;65;76
13;189615;155782;21/09/2015 0:00;73;79;51;68;78;90;84;79;56;58;67;58;65;76
14;189615;155782;9/01/2015 0:00;71;78;50;67;79;90;84;79;50;56;66;57;64;73
15;189615;155782;5/12/2014 0:00;71;78;50;67;79;90;84;79;50;56;66;57;64;73
16;189615;155782;7/11/2014 0:00;71;78;50;67;79;90;84;79;50;56;66;57;64;73
17;189615;155782;18/09/2014 0:00;70;77;50;66;79;90;84;79;50;56;66;57;64;73
18;189615;155782;2/05/2014 0:00;70;77;50;66;81;90;84;80;50;56;66;57;64;73
19;189615;155782;4/04/2014 0:00;70;77;50;66;81;90;84;80;50;56;66;57;64;73
20;189615;155782;14/03/2014 0:00;70;77;50;65;81;90;84;79;49;55;66;57;61;73
21;189615;155782;13/12/2013 0:00;70;77;50;67;81;90;84;79;49;55;66;57;61;73
22;189615;155782;8/11/2013 0:00;70;77;50;67;81;90;84;79;49;55;66;57;61;73
23;189615;155782;4/10/2013 0:00;69;77;50;67;81;90;84;77;48;55;63;56;58;73
24;189615;155782;20/09/2013 0:00;69;77;50;67;81;90;84;76;48;55;63;56;58;73
25;189615;155782;3/05/2013 0:00;69;77;50;65;77;90;77;74;48;55;63;56;58;72
26;189615;155782;22/03/2013 0:00;69;77;50;65;77;90;77;74;48;55;63;56;58;72
27;189615;155782;15/03/2013 0:00;69;77;50;65;77;90;77;74;48;55;63;56;58;72
28;189615;155782;22/02/2013 0:00;69;77;50;65;81;90;77;74;48;55;63;56;58;72
29;189615;155782;15/02/2013 0:00;69;77;50;65;81;90;77;74;48;55;63;56;58;72
30;189615;155782;31/08/2012 0:00;68;77;50;64;81;90;77;73;48;55;63;56;63;72
31;189615;155782;22/02/2012 0:00;65;77;53;64;74;87;73;63;56;54;64;56;63;66
32;189615;155782;30/08/2011 0:00;64;74;53;64;74;87;64;63;56;54;64;56;47;64
33;189615;155782;30/08/2010 0:00;54;58;40;43;59;62;48;59;43;54;64;19;38;53
34;189615;155782;22/02/2010 0:00;51;57;39;42;59;62;48;55;37;53;63;27;38;52
35;189615;155782;30/08/2009 0:00;52;58;40;43;59;62;48;56;38;54;64;28;38;53
